variable;unit;min;max;definition
Emissions|CO2;Mt CO2/yr;NA;1000;total carbon dioxide emissions, including emissions from fossil fuel combustion, industrial processes and land-use change
Emissions|CO2|Fossil Fuels and Industry;Mt CO2/yr;NA;1000;carbon dioxide emissions from fossil fuel combustion and industrial processes, negative emissions from bioenergy with CCS should be included in this category
Emissions|CO2|Fossil Fuels and Industry|Energy Supply;Mt CO2/yr;NA;1000;carbon dioxide emissions from power and heat generation, other energy conversion (e.g. refineries, synfuel production), resource extration and energy transmission and distribution (e.g. gas pipelines),  negative emissions from bioenergy with CCS should be included in this category
Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity;Mt CO2/yr;NA;1000;carbon dioxide emissions from electric power generation, negative emissions from bioenergy with CCS should be included in this category
Emissions|CO2|Fossil Fuels and Industry|Energy Demand;Mt CO2/yr;NA;1000;carbon dioxide emissions from all energy end-use sectors
Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry;Mt CO2/yr;NA;1000;carbon dioxide emissions from the industrial sector, including feedstocks, including agriculture and fishing
Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial;Mt CO2/yr;NA;1000;carbon dioxide emissions from the residential & commercial sector
Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation;Mt CO2/yr;NA;1000;carbon dioxide emissions from the transportation sector and bunker fuels (excluding pipelines)
Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Other Sector;Mt CO2/yr;NA;1000;carbon dioxide emissions from other energy end-use sectors that do not fit to any other category (please provide a definition of the sectors in this category in the 'comments' tab)
Emissions|CO2|Land Use;Mt CO2/yr;NA;1000;net carbon dioxide emissions from all categories of land use and land-use change (e.g., pasture conversion, deforestation, afforestation, reforestation, soil management, etc.)
Emissions|CO2|Carbon Capture and Storage;Mt CO2/yr;NA;1000;total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Emissions|N2O;kt N2O/yr;NA;1000;total nitrous oxide emissions
Emissions|CH4;Mt CH4/yr;NA;1000;total methane emissions
Emissions|F-Gases;Mt CO2-equiv/yr;NA;1000;total F-gas emissions, including sulfur hexafluoride (SF6), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), others?
Emissions|Kyoto Gases;Mt CO2-equiv/yr;NA;1000;total Kyoto gas emissions, including CO2, CH4, N2O and F-Gases. Equivalent emissions calculated based on 100 yr GWP from IPCC AR4, Chap. 2 of WGI report
Concentration|CO2;ppm;NA;1000;atmospheric concentration of carbon dioxide
Concentration|CH4;ppb;NA;1000;atmospheric concentration of methane
Concentration|N2O;ppb;NA;1000;atmospheric concentration of nitrous oxide
Forcing;W/m2;NA;1000;radiative forcing from all greenhouse gases and forcing agents, including contributions from albedo, nitrate, and mineral dust
Forcing|AN3A;W/m2;NA;1000;radiative forcing from all greenhouse gases and forcing agents, excluding contributions from albedo, nitrate, and mineral dust
